,side,market,wallet,shares,yes_no_index,pseudonym
155,NO,tyler-robinson-convicted-of-homicide,0xa18c5cf2bc6eec389d2d512582ae14654b99d792,28.0,1,Gigantic-Graduation
69,YES,tyler-robinson-convicted-of-homicide,0x1816373b4c98abc5b6f4ebc919b85652ce8bd72b,26.0,0,Stiff-Participation
70,YES,tyler-robinson-convicted-of-homicide,0x035909645bcec546a6814956c2be7f82c080a079,26.0,0,Wry-Lumberman
157,NO,tyler-robinson-convicted-of-homicide,0xda30865e15d5b76c1501091c91eeb94afc7764be,25.0,1,
156,NO,tyler-robinson-convicted-of-homicide,0x07f8e36d709a2921b2e58a0099bee89b1be38290,25.0,1,Starry-Accordance
71,YES,tyler-robinson-convicted-of-homicide,0xa04dcad1ecd55091d02d5191fa779870b082c775,24.0,0,Faint-Steak
73,YES,tyler-robinson-convicted-of-homicide,0xf1254ce5f133576e136a984d2103e6d8c90949d5,23.0,0,Front-Security
158,NO,tyler-robinson-convicted-of-homicide,0xafa6696a6693915d8a26aa9ae8255b17a4bedb93,23.0,1,Tender-Someone
72,YES,tyler-robinson-convicted-of-homicide,0xadb60a1a1ad865befc9de93643eed3be61705875,23.0,0,Pastel-Inflation
74,YES,tyler-robinson-convicted-of-homicide,0x3a4e36fd3e86d0b63720bca069f1ffa04bdc5c16,23.0,0,Somber-Chicory
75,YES,tyler-robinson-convicted-of-homicide,0x3133f1500dea518a9f7be4b131339a5c0bd6355f,21.0,0,Ordinary-Girl
79,YES,tyler-robinson-convicted-of-homicide,0xcece2f5f75676c11ca0151a70507e045ca63a1e7,21.0,0,
80,YES,tyler-robinson-convicted-of-homicide,0xeb7e38bdde6ce8348d7815d59f89e9ca7dc69ce8,21.0,0,Skinny-Collard
81,YES,tyler-robinson-convicted-of-homicide,0x33b92a3052bc8851b7417e1c86517431c93cc9fb,21.0,0,Elated-Rostrum-Urn
82,YES,tyler-robinson-convicted-of-homicide,0x746b39a40c5d00ddd2842855f6d47ee6c5f713be,21.0,0,Wavy-Spork
83,YES,tyler-robinson-convicted-of-homicide,0x7a30515a21c666c207a29a463cfeb0c7c0c5a1a8,21.0,0,Another-Moustache
76,YES,tyler-robinson-convicted-of-homicide,0x404bffa70dce5eb713bab7bea08eb212a29ede15,21.0,0,Knowing-Implementation
77,YES,tyler-robinson-convicted-of-homicide,0x8b9a16b38c48871b1b520bc1a6da49a30fe74a3d,21.0,0,Infinite-Front
78,YES,tyler-robinson-convicted-of-homicide,0xd77c367c98d4e9f7a229ca075e0559ad778ee268,21.0,0,That-Pocketbook
159,NO,tyler-robinson-convicted-of-homicide,0x410d389f1dcdcda12f6bc942c8022d40117e4c78,20.0,1,Grotesque-Genie
